Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI_lower,Krippendorff_CI_upper,Task,Cohen_Quality,Cohen_CI_lower,Cohen_CI_upper
0.3524667931688805,,86.95652173913044,Poor Agreement -> WORK REQUIRED,-0.041134843861585314,0.6352,Age of Participants,,,
0.8583881160196107,,89.36170212765957,Substantial Agreement,0.7720664171774912,0.9502958700745344,Application Form,,,
0.6061176470588235,0.603189493433396,80.85106382978722,Poor Agreement -> WORK REQUIRED,0.43570413751608517,0.7761194029850746,Clinical Trial Phase,Moderate Agreement,0.3700795233365878,0.8362994635302042
0.8423129215430141,,84.78260869565217,Substantial Agreement,0.7651133650789393,0.9269898328789148,Condition,,,
0.47689835275210934,0.4926754047802621,70.2127659574468,Poor Agreement -> WORK REQUIRED,0.2874208967281541,0.6589498522095457,Data Collection,Weak Agreement -> WORK REQUIRED,0.2699929439324986,0.7153578656280256
0.5749082415749083,0.5729442970822282,69.56521739130434,Poor Agreement -> WORK REQUIRED,0.4357888222928941,0.7148422691942669,Data Type,Weak Agreement -> WORK REQUIRED,0.38636104746920075,0.7595275466952556
0.8262146289375334,0.8247202983484283,85.1063829787234,Substantial Agreement,0.7374733527131784,0.9211229946524064,Number of Participants,Strong Agreement,0.704930524950828,0.9445100717460286
0.5004392788809708,,52.38095238095239,Poor Agreement -> WORK REQUIRED,0.3776591440374076,0.6176731653344603,Outcomes,,,
0.631320055172877,,74.4186046511628,Poor Agreement -> WORK REQUIRED,0.4717175752081694,0.7777387169972984,Regimen,,,
0.7267798462972717,,85.1063829787234,Moderate Agreement,0.5725760837833892,0.8604375569057551,Setting,,,
0.7578827823291738,,89.36170212765957,Moderate Agreement,0.5790998898947883,0.9107981220657277,Sex of Participants,,,
0.1338205689794616,,48.93617021276596,Poor Agreement -> WORK REQUIRED,-0.0330291415755193,0.2946236165233426,Study Conclusion,,,
0.6821975237894164,,74.46808510638297,Moderate Agreement,0.5572809358542564,0.799148523822676,Study Control,,,
0.6662218333442917,,61.702127659574465,Poor Agreement -> WORK REQUIRED,0.5650339425239106,0.7612830961858514,Study Purpose,,,
0.8097047646886876,0.8079392877991828,85.1063829787234,Substantial Agreement,0.7121629711751662,0.917146121541502,Study Type,Strong Agreement,0.676681024712612,0.9391975508857535
0.5731750995275027,,76.59574468085107,Poor Agreement -> WORK REQUIRED,0.4002023747919063,0.7352319099493079,Substance Naivety,,,
0.75877048266742,,72.3404255319149,Moderate Agreement,0.6723494747841469,0.8483278782106263,Substances,,,
