Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI_lower,Krippendorff_CI_upper,Task,Cohen_Quality,Cohen_CI_lower,Cohen_CI_upper
0.782088122605364,,95.65217391304348,Moderate Agreement,0.5369712570329813,1.0,Age of Participants,,,
0.9117367921543815,0.9108159392789374,93.61702127659575,Substantial Agreement,0.8458070333633905,1.0,Application Form,Almost Perfect Agreement,0.8131686715032769,1.008463207054598
0.38925373134328356,0.4111617312072895,76.59574468085107,Poor Agreement -> WORK REQUIRED,0.1309054308216764,0.5882863562091502,Clinical Trial Phase,Weak Agreement -> WORK REQUIRED,0.10661210038585811,0.7157113620287209
0.8715676655515613,,84.78260869565217,Substantial Agreement,0.8059075851549812,0.9417718333016146,Condition,,,
0.9035769828926905,0.9025906735751297,95.74468085106383,Substantial Agreement,0.8037865748709122,1.0,Data Collection,Almost Perfect Agreement,0.7704918525125066,1.0346894946377527
0.5485436893203883,0.5486194477791115,65.95744680851064,Poor Agreement -> WORK REQUIRED,0.3987700392658676,0.6906674145527812,Data Type,Weak Agreement -> WORK REQUIRED,0.3689927684003603,0.7282461271578627
0.9000537345513165,0.8991416309012875,91.48936170212765,Substantial Agreement,0.8335791729702472,0.9628821797872058,Number of Participants,Strong Agreement,0.8045999508277715,0.9936833109748036
0.28905422920793755,,27.906976744186046,Poor Agreement -> WORK REQUIRED,0.18609082246223732,0.38039726949456104,Outcomes,,,
0.3388441874929101,,51.162790697674424,Poor Agreement -> WORK REQUIRED,0.17573242378183124,0.4968165815275102,Regimen,,,
0.7012048192771084,0.7006369426751594,82.97872340425532,Moderate Agreement,0.5466776875803333,0.8455131533621747,Setting,Moderate Agreement,0.5116670319343162,0.8896068534160027
0.9008,0.8998935037273696,95.74468085106383,Substantial Agreement,0.809002584432082,1.0,Sex of Participants,Strong Agreement,0.7641369943286143,1.035650013126125
0.6856338028169014,0.6827896512935885,87.2340425531915,Moderate Agreement,0.4861392746797853,0.8902719301902261,Study Conclusion,Moderate Agreement,0.4457228210507982,0.9198564815363788
0.5786897991037117,,63.829787234042556,Poor Agreement -> WORK REQUIRED,0.4547462267376136,0.7060779708733622,Study Control,,,
0.5707521100014776,,54.347826086956516,Poor Agreement -> WORK REQUIRED,0.4726591120024487,0.6720381480057814,Study Purpose,,,
0.7601054481546573,0.7613832853025937,80.43478260869566,Moderate Agreement,0.659953468862182,0.8644730829783593,Study Type,Moderate Agreement,0.6215670433348136,0.9011995272703738
0.779685202911835,,89.36170212765957,Moderate Agreement,0.6224860456264584,0.9245944974808675,Substance Naivety,,,
0.7846182441658587,,74.46808510638297,Moderate Agreement,0.7037079730338627,0.8647131669592902,Substances,,,
