Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI_lower,Krippendorff_CI_upper,Cohen_Quality,Cohen_CI_lower,Cohen_CI_upper,Task
0.5438972162740899,0.5404255319148943,91.66666666666666,Poor Agreement -> WORK REQUIRED,-0.029230512063297416,1.0,Weak Agreement -> WORK REQUIRED,0.042508414452177734,1.038342649377611,Age of Participants
0.8412880966072456,0.8392652123995408,88.57142857142857,Substantial Agreement,0.7333333333333334,0.9397644216713598,Strong Agreement,0.6910192816517972,0.9875111431472844,Application Form
0.4705443698732289,0.46980854197349037,72.22222222222221,Poor Agreement -> WORK REQUIRED,0.27911350703803534,0.667311411992263,Weak Agreement -> WORK REQUIRED,0.1905385828571694,0.7490785010898113,Clinical Trial Phase
0.7688556884962401,,76.47058823529412,Moderate Agreement,0.6641592578729609,0.8931823931912432,,,,Condition
0.8351393188854489,0.8333333333333334,91.66666666666666,Substantial Agreement,0.7013274336283186,1.0,Strong Agreement,0.6527615391917616,1.0139051274749051,Data Collection
0.7396542692509167,0.7369519832985387,80.55555555555556,Moderate Agreement,0.6133936863190332,0.8785565921283767,Moderate Agreement,0.5620519743824698,0.9118519922146077,Data Type
0.763558515699334,0.7613636363636365,80.55555555555556,Moderate Agreement,0.6543935758513931,0.8882916408125826,Moderate Agreement,0.6026948782750057,0.9200323944522673,Number of Participants
0.5627211507896341,,54.285714285714285,Poor Agreement -> WORK REQUIRED,0.4534023224719246,0.6744601495972824,,,,Outcomes
0.6372339170941684,,75.0,Poor Agreement -> WORK REQUIRED,0.47891883514097155,0.8005219324881627,,,,Regimen
0.6001609010458568,0.5980861244019139,80.55555555555556,Poor Agreement -> WORK REQUIRED,0.38418251643471335,0.7859341147714016,Weak Agreement -> WORK REQUIRED,0.3308545318315884,0.8653177169722394,Setting
0.9004207573632539,0.8991596638655466,97.22222222222221,Substantial Agreement,0.6564885496183206,1.0,Strong Agreement,0.7042770357163831,1.09404229201471,Sex of Participants
0.4047256097560975,0.43185078909612623,69.44444444444444,Poor Agreement -> WORK REQUIRED,0.18177272727272725,0.6057867061608728,Weak Agreement -> WORK REQUIRED,0.15205518267876966,0.7116463955134829,Study Conclusion
0.573649286085288,,66.66666666666666,Poor Agreement -> WORK REQUIRED,0.43973067949845723,0.7107790889204235,,,,Study Control
0.4892362083610736,,54.285714285714285,Poor Agreement -> WORK REQUIRED,0.35452895047421973,0.6177775270617688,,,,Study Purpose
0.7337845142386139,,77.77777777777779,Moderate Agreement,0.6092876202465335,0.8541068095221,,,,Study Type
0.6772859424266,,83.33333333333334,Moderate Agreement,0.5146461015499113,0.8442624476402378,,,,Substance Naivety
0.8077280078083883,,80.55555555555556,Substantial Agreement,0.7169362416454043,0.9083318490596459,,,,Substances
